time,socket,duration_sec,num_proc,num_threads,pkg_credit_frac,dram_credit_frac,total_pkg_joules,total_dram_joules,base_pkg_joules,base_dram_joules,ascribed_pkg_joules,ascribed_dram_joules,tracer_pkg_joules,tracer_dram_joules,pkg_percent,dram_percent
1753104312.4502912,0,1.0007804279994161,2,1,0.0,0.00029293778912578984,8.552896000008332,4.618945999998687,8.044573313703395,3.304476895253529,0.0,0.25828873353708687,0.20296533821901802,0.48903582217787744,4.664285714285714,44.065096683365184
1753104313.4493477,0,1.0021411460002128,2,1,0.0,0.00029298760208842467,8.026224999994156,4.094411000000036,8.055511173208268,3.3089698500204165,0.0,0.15434177811415178,0.0,0.2935478463589157,4.0,44.06810285931634
1753104314.4477894,0,1.0021566549985437,2,1,0.0,0.0002929717942221677,8.09220300000743,4.341969000000972,8.055635839189542,3.3090210591820064,0.0,0.20297548900489484,0.016309987779901676,0.3860611519344054,4.25,44.06889395825086
1753104315.4560337,0,1.0012194810005894,2,1,0.0,0.00029296564405665123,8.181375999993179,4.074391000000105,8.048102553442428,3.3059266043581217,0.0,0.15100352635799913,0.054528606839699616,0.28722133634166624,4.292857142857143,44.07123561109702
1753104316.4499424,0,1.0019692280002346,2,1,0.0,0.0002929494604771414,7.724100999999791,3.7900289999997767,8.054129244749163,3.3084021939762813,0.0,0.09463879262753001,0.0,0.18001089871104903,4.035714285714286,44.07354561998582
1753104317.4522374,0,1.001196027998958,2,1,0.0,0.00029293480613024384,8.536355000003823,4.5959359999997105,8.04791403117943,3.3058491648920336,0.0,0.2534971837371023,0.22225337165296513,0.48217284475332023,4.928571428571429,44.075127817854856
1753104318.4569626,0,1.0011520690022735,2,1,0.0,0.0002929248389154269,8.005655999993905,4.0634659999996074,8.04756067557641,3.3057040166808793,0.0,0.1488963504462841,0.0,0.2832244629710343,4.25,44.07664672780912
1753104319.4593852,0,1.0008389899994654,2,1,0.0,0.0002929126665062839,7.967692000005627,4.308827000000747,8.045044052628352,3.304670261121494,0.0,0.19731001865081146,0.0,0.3753149348770722,4.035714285714286,44.0797794795898
1753104320.4631553,0,1.0002219079979113,2,1,0.0,0.000292893708654634,8.007058999995934,4.341053000000102,8.040083762375682,3.302632718060537,0.0,0.20403993222736827,0.0,0.3881162973876289,4.178571428571429,44.08133003350146
1753104321.4590354,0,1.001178548001917,2,1,0.0,0.0002928844161801411,8.38102099999378,4.4550060000001395,8.047773521719227,3.3057914476898036,0.0,0.22580854356219043,0.1494020205643534,0.42952364710742214,4.214285714285714,44.08133003350146
1753104322.4618201,0,1.0026593399998092,2,1,0.0,0.00029288360819572433,7.899455000006128,4.004017999999633,8.05967657203487,3.310680874787706,0.0,0.1362333602069361,0.0,0.2591374480818369,4.25,44.08288058741311
1753104323.4630926,0,1.0028206069982843,2,1,0.0,0.00029290388186857866,8.076151000001119,4.193592999999964,8.060972884548603,3.311213362289978,0.0,0.17338060058968408,0.00680467599846333,0.32981037133973196,4.214285714285714,44.07671001572388
1753104324.4628165,0,1.0009618910007703,2,1,0.0,0.00029290827518228547,8.028422000003047,4.1890759999987495,8.046031967747057,3.3050760679377076,0.0,0.1736994966437873,0.0,0.33041698606862807,4.071428571428571,44.07664672780912
1753104325.4666755,0,1.0012443929990695,2,1,0.0,0.00029291739181139573,8.05240899999626,4.05516500000158,8.048302803559793,3.306008861285904,0.0,0.1472045975428841,0.0019387944710602583,0.28001750376577617,4.35,44.07522274972699
